user_device,user_osName,user_browserName,user_lat_lng,dest_lat_lng,booked_flight,booked_hotel,booked_rental
,Windows,Safari,"4.719364,-23.584999","84.372483,-97.405528",0.0,0.0,0.0
Tablet,,Edge,"-83.324359,65.051681","-44.940532,-124.455946",0.0,0.0,1.0
Desktop,iOS,Safari,"83.183459,-28.067919","-82.21546,111.500685",0.0,0.0,0.0
Tablet,Android,Opera,"-13.728063,-163.523204","-88.984163,-13.03925",0.0,0.0,0.0
Tablet,Linux,Firefox,"70.268235,154.483699","-73.445907,-163.873675",,0.0,0.0
Desktop,,Chrome,"56.365041,-141.71563","78.238247,117.143938",0.0,0.0,0.0
Tablet,,Edge,"72.040263,-171.375961","-18.922273,-14.906258",0.0,0.0,0.0
Tablet,Android,Chrome,"-9.976622,0.224515","66.260261,106.861291",0.0,0.0,1.0
,Linux,Opera,"60.120378,90.309317",,0.0,0.0,0.0
Desktop,Android,Firefox,"53.477441,132.444342","19.408039,-38.390993",0.0,0.0,0.0
Tablet,Android,Edge,,"5.057464,14.291206",0.0,1.0,0.0
Mobile,Windows,Safari,"-77.754043,-19.963288","65.671131,-101.284539",0.0,0.0,0.0
Mobile,Linux,Safari,"-84.576119,149.513424",,1.0,1.0,0.0
Mobile,iOS,Edge,"82.514481,-149.781938",,0.0,0.0,0.0
Mobile,Android,Edge,"5.872796,-62.949742","-47.069544,63.706151",0.0,0.0,0.0
Desktop,macOS,Opera,"-28.343829,-17.747978","23.056403,-64.411859",0.0,,0.0
Tablet,Linux,Firefox,"-67.488126,-114.922728","-48.632608,137.450143",0.0,0.0,0.0
Mobile,macOS,Edge,"13.926359,-173.247873","12.540397,73.403716",0.0,0.0,0.0
Tablet,,Safari,"17.964184,-65.189812","76.560988,-106.056882",0.0,0.0,0.0
Tablet,Linux,Firefox,"59.797155,36.002343","-26.900231,-23.59798",0.0,0.0,0.0
Desktop,Windows,Edge,"37.456416,-138.806935","-48.078988,122.551394",0.0,0.0,0.0
Tablet,Linux,,"-42.144774,178.801059","-74.98744,-93.902605",0.0,0.0,0.0
Mobile,iOS,,"-11.942596,-50.808526","-55.613855,163.221022",0.0,0.0,0.0
Mobile,Windows,,"67.293965,-168.093141","22.923749,77.837476",0.0,0.0,
,,Edge,"6.259205,-104.307403",,0.0,0.0,0.0
Mobile,Linux,Firefox,"-23.732498,-108.080254",,0.0,0.0,0.0
Mobile,iOS,Edge,"-83.191903,-30.055632","-81.878126,23.641116",0.0,0.0,0.0
Desktop,Linux,Firefox,,"-4.430621,-124.670268",0.0,0.0,0.0
Desktop,Windows,Firefox,"22.293535,-40.018647","16.72935,-117.425653",0.0,0.0,0.0
Mobile,Linux,Edge,"48.573949,1.880634",,,,0.0
Desktop,iOS,Safari,"-23.82835,-115.527711","66.83611,-27.120145",,0.0,0.0
Desktop,iOS,Opera,,"2.14576,93.810405",0.0,0.0,0.0
Mobile,iOS,,"83.484673,108.687456","8.329714,25.914307",0.0,0.0,
Mobile,macOS,Safari,"-14.397099,86.706015","9.601018,-3.12642",,0.0,0.0
Desktop,macOS,Firefox,"-8.389531,-151.248338","55.025458,-5.323809",0.0,0.0,0.0
Tablet,macOS,,"3.002589,131.662303","72.143018,111.101993",0.0,0.0,
Tablet,Android,Edge,"63.979437,26.988089","34.63921,143.517062",0.0,0.0,0.0
Mobile,Linux,Opera,"-21.595763,-176.363783","6.676796,115.862736",,1.0,0.0
Mobile,macOS,Safari,"-33.94624,176.331088","-46.471853,-153.72877",0.0,,0.0
Tablet,iOS,Chrome,"40.768386,78.331883","33.300114,-71.420292",0.0,0.0,0.0
Desktop,iOS,Firefox,,"24.22884,-152.138036",0.0,1.0,0.0
Tablet,macOS,Safari,"15.454558,-16.697068","82.016595,5.441284",0.0,0.0,1.0
Tablet,macOS,Opera,,"-88.285274,-8.612322",0.0,,
Mobile,iOS,Opera,"-19.177873,122.505042","52.149751,131.478868",0.0,,0.0
Desktop,macOS,Opera,"60.792197,97.523352","-6.972943,-134.66286",0.0,0.0,0.0
Tablet,Android,Safari,"-83.224368,-126.729992","73.11059,173.221341",0.0,1.0,0.0
Desktop,,Safari,"-33.353074,125.112003",,0.0,0.0,0.0
Mobile,,Edge,"67.186689,-165.039374","11.807005,12.204162",0.0,0.0,0.0
Tablet,Windows,Chrome,"-31.54958,126.138314","15.957838,-65.839459",0.0,,0.0
Mobile,Android,Safari,"-45.055215,171.36119","-80.938247,28.926412",0.0,0.0,0.0
Tablet,iOS,Edge,"-1.925322,157.432568","-62.739797,-57.146719",0.0,0.0,0.0
Desktop,Windows,Firefox,"-12.811249,-63.432386","14.840852,-104.944837",0.0,0.0,0.0
Mobile,iOS,Chrome,"-24.766168,138.34821","7.643294,77.298542",0.0,0.0,0.0
Desktop,iOS,Opera,"-30.47591,60.96464",,,0.0,1.0
Tablet,macOS,Chrome,"-5.428317,159.001628","1.698175,-144.920382",0.0,0.0,0.0
,Linux,Firefox,"-61.314575,-25.683541","37.142156,-68.079699",0.0,0.0,
Desktop,Android,Safari,"-67.565914,28.130163","-57.186559,-78.316063",0.0,0.0,0.0
Desktop,Linux,Safari,"-17.478146,-158.062596","8.316049,28.820256",0.0,0.0,0.0
Tablet,Linux,Edge,"62.97086,-44.814678","-59.462729,157.189216",0.0,0.0,0.0
Mobile,macOS,,"-1.146467,-33.295199","-30.790151,-83.415367",0.0,,0.0
,Linux,Safari,"-2.042518,-174.122929",,0.0,0.0,
Mobile,Android,Chrome,"56.782715,-60.369116","86.774745,62.900624",0.0,0.0,0.0
Mobile,Windows,Firefox,"40.403118,-156.640754","51.665532,-35.464683",0.0,0.0,
Mobile,iOS,Opera,"4.288545,147.16511","-15.370041,175.28102",0.0,0.0,
Mobile,Android,Opera,"-18.315354,-108.986756","-53.875755,-62.304313",0.0,0.0,0.0
Tablet,macOS,Edge,"-72.165392,129.271667","-54.870923,-78.255353",,0.0,0.0
,,Firefox,"-47.014879,171.0256","29.443354,-68.789929",0.0,0.0,0.0
Mobile,macOS,Chrome,"-45.391899,-6.843242",,0.0,0.0,0.0
Desktop,Android,Opera,"-7.561056,-157.676537",,,1.0,0.0
Desktop,iOS,Edge,"5.731096,62.150753","21.848107,97.545788",0.0,0.0,0.0
Desktop,Linux,Safari,"43.584419,8.133032","-31.743721,-47.050259",0.0,1.0,0.0
Tablet,Linux,Safari,"56.26533,90.755101","69.881192,89.848148",0.0,0.0,0.0
Mobile,macOS,Chrome,"-55.084624,-35.423395","-20.83309,-102.471032",0.0,0.0,
Mobile,Windows,Opera,"-64.335267,-131.967485","-70.867803,130.25807",0.0,0.0,0.0
Desktop,iOS,,,"35.576668,38.643164",0.0,0.0,0.0
Desktop,macOS,Edge,"18.170966,83.586342",,0.0,0.0,
Tablet,iOS,Edge,"-40.097712,-35.509695","47.086067,-28.562638",0.0,0.0,0.0
Tablet,macOS,Opera,"19.224556,-145.213567","-58.235361,76.976704",0.0,0.0,0.0
Desktop,Windows,Chrome,"59.949735,-56.358135","-45.590158,101.740813",0.0,0.0,0.0
Mobile,Android,Edge,"28.575537,178.403365","-29.028493,-123.562104",0.0,,0.0
Tablet,Linux,Firefox,"-4.43476,-102.582558",,0.0,0.0,0.0
Mobile,iOS,Edge,"-51.041988,-158.264562","-21.815777,-87.375451",0.0,0.0,0.0
Tablet,iOS,Chrome,"48.074814,-74.364718","-49.39965,-38.9704",,0.0,0.0
Mobile,Windows,Edge,,"66.258038,-154.635895",1.0,0.0,0.0
,iOS,Safari,,"-36.676749,22.431028",0.0,0.0,
Tablet,Android,Chrome,,"67.406453,-77.712545",0.0,1.0,0.0
Desktop,,Safari,"-1.902673,-67.034434","-27.226364,107.262253",0.0,0.0,0.0
,Windows,Safari,"66.701685,-153.70549","-22.946819,126.559367",0.0,0.0,0.0
Desktop,macOS,Opera,"-84.572348,-33.69851","-8.051236,24.874772",0.0,0.0,0.0
Tablet,macOS,Chrome,"-58.888146,87.741524","10.958574,-137.049778",0.0,0.0,0.0
Tablet,iOS,Safari,"-26.381896,-85.882424","-26.110343,-93.02925",0.0,,0.0
Tablet,,Opera,"-25.311337,-100.985785","32.943823,156.112861",0.0,0.0,0.0
Mobile,Windows,Opera,"-36.062554,24.474703","-51.764462,-147.146173",,0.0,0.0
Mobile,Android,Safari,"65.525858,-46.487031","1.186331,-39.298744",1.0,1.0,0.0
Tablet,Windows,Safari,"-32.27908,101.444356",,0.0,0.0,0.0
,macOS,Firefox,"-85.963251,-71.252523","79.22712,126.148633",0.0,0.0,0.0
Desktop,Android,Chrome,"-8.609253,36.238204","-39.50647,-135.92594",0.0,0.0,
Tablet,iOS,,"-61.908925,-24.172417","16.648996,-78.655107",0.0,0.0,0.0
Mobile,macOS,Chrome,,"-53.690789,50.869718",0.0,0.0,0.0
,Linux,Opera,"13.419194,58.463376","45.068109,9.82174",0.0,0.0,0.0
Mobile,macOS,Edge,"-21.71292,-157.091133","-32.401061,4.507548",0.0,0.0,0.0
Mobile,Android,Edge,"-79.999869,129.137273","17.952475,-161.320199",0.0,0.0,0.0
Desktop,Android,Opera,"31.935459,95.106486","-10.113529,35.39904",,1.0,0.0
Tablet,Windows,Firefox,"77.184832,90.195985","-66.692703,-18.418945",,0.0,0.0
Tablet,Android,Edge,"34.614228,56.073074","-27.588861,132.438553",0.0,0.0,1.0
Tablet,Linux,Chrome,,"-1.910518,-26.540772",0.0,0.0,0.0
Desktop,Linux,Safari,"7.567975,-100.053398","-46.101317,164.689534",,0.0,0.0
Mobile,Android,Chrome,"-52.231282,113.495728","83.008972,-47.968239",0.0,0.0,0.0
Mobile,iOS,Chrome,"-44.962452,-165.086497","77.227239,42.696352",,,0.0
Desktop,,Chrome,"-12.885791,114.246164","50.588486,-147.655263",0.0,0.0,
Desktop,iOS,Opera,"-15.400865,109.277128","-86.164218,5.067944",0.0,,0.0
Tablet,Android,Opera,"58.897976,128.774579","-76.336529,141.012056",0.0,0.0,0.0
Tablet,,Chrome,"16.001971,71.809477","57.627441,77.33998",0.0,0.0,0.0
Desktop,Android,Safari,"-42.865369,-144.108741","-84.348628,-14.999578",0.0,,1.0
Desktop,macOS,,"5.900494,-176.190519","-75.943631,154.311281",0.0,0.0,0.0
Desktop,iOS,Firefox,"-6.167187,-143.246297","20.271343,-123.648382",0.0,0.0,0.0
Mobile,Android,,"-70.484346,133.48203","10.909653,-137.328156",0.0,0.0,0.0
,iOS,,,"-63.778185,-150.855872",0.0,0.0,0.0
Desktop,Linux,Safari,"-17.194198,-31.228443","66.911287,16.444988",0.0,0.0,0.0
Desktop,Windows,Chrome,"-35.440615,-23.630928","-30.977276,-179.755981",0.0,0.0,
Mobile,iOS,Opera,"15.682511,-112.827939",,0.0,0.0,0.0
Desktop,macOS,Edge,"-42.89698,-1.888583",,,0.0,0.0
Tablet,Windows,Chrome,"-20.739546,115.015145","-71.869894,151.942177",0.0,1.0,
Mobile,Android,Firefox,"57.903665,-59.042865","-43.498698,161.459322",0.0,0.0,0.0
Desktop,macOS,Safari,"-8.85685,171.571499","-1.281814,128.420985",0.0,0.0,
Tablet,Windows,Opera,,,0.0,0.0,0.0
Tablet,,Opera,"-39.558784,-149.947078","-88.175102,-112.869102",0.0,0.0,1.0
,,Edge,"32.008166,-65.917692","-26.297126,-73.391817",,0.0,0.0
Tablet,Android,Chrome,"6.587134,96.531221","80.411479,-37.918571",,0.0,0.0
Mobile,Android,Opera,"60.486312,-62.868836","84.980301,54.365371",0.0,0.0,0.0
Tablet,Android,Firefox,"-47.295551,125.473094",,,0.0,0.0
Desktop,,Firefox,"-21.371254,115.919331",,0.0,0.0,0.0
Mobile,iOS,Safari,"-63.042633,148.287388","28.152919,169.847838",0.0,0.0,0.0
Tablet,Android,,"-3.037382,-118.75198",,0.0,0.0,0.0
,,Firefox,"6.312267,133.205753",,0.0,0.0,0.0
,Android,Firefox,"-19.921488,-115.897857","66.606526,-96.923869",0.0,0.0,0.0
Mobile,iOS,Chrome,"13.78011,120.40816",,0.0,0.0,0.0
Desktop,Android,Opera,"-68.15632,-165.093009",,0.0,0.0,0.0
Mobile,iOS,Chrome,"-79.867171,-97.024061","55.694957,-85.884275",0.0,,
Mobile,Android,Safari,"-88.68564,-25.677803","16.27608,-138.454934",0.0,1.0,0.0
Desktop,Windows,Safari,"35.594902,75.764948","10.462446,146.31043",0.0,1.0,
Tablet,Windows,Safari,"24.608074,-73.367952","-58.108464,127.81515",0.0,,0.0
Desktop,iOS,Opera,"42.468787,27.535524","-11.619825,-63.960892",0.0,0.0,0.0
Mobile,iOS,Edge,"65.012255,-7.918014",,0.0,0.0,0.0
Desktop,macOS,Safari,"-57.573484,48.47502","-54.011122,158.436126",,0.0,0.0
Desktop,Linux,Safari,"-62.858839,166.732144",,0.0,0.0,0.0
Mobile,macOS,Chrome,"36.591334,92.275879",,0.0,0.0,0.0
Mobile,iOS,Chrome,"32.26832,-144.878555","63.371586,-114.032119",0.0,0.0,0.0
Desktop,iOS,Edge,"-6.246032,54.509487",,0.0,0.0,0.0
Mobile,Android,Edge,"-48.715943,64.620758","-82.962248,159.786531",,0.0,0.0
,macOS,Edge,"57.579386,-81.025207","24.713713,46.972408",0.0,0.0,0.0
Tablet,Linux,Edge,"-54.071406,137.937592","-42.29185,-129.898698",,0.0,0.0
Tablet,macOS,Chrome,"-89.064991,-87.931063","37.090927,6.746088",0.0,,0.0
Tablet,Windows,Safari,"-16.788528,62.013499","-32.776347,-65.956464",,1.0,0.0
Desktop,Windows,Chrome,"89.471429,-46.505378","70.066242,140.280454",0.0,0.0,
Desktop,,Firefox,"80.785571,-47.961258","-40.567156,105.894891",0.0,0.0,0.0
,macOS,Firefox,"35.195266,-120.467874","-49.197321,110.865002",0.0,0.0,0.0
Mobile,iOS,Safari,"-7.126585,133.658467","-67.268964,92.935805",0.0,0.0,0.0
Desktop,,Edge,"-32.401012,-142.127064","10.023075,-137.656942",0.0,0.0,0.0
Desktop,Windows,Safari,"4.0884,-21.767513","20.83561,-110.732922",0.0,0.0,0.0
Mobile,Linux,Firefox,"-48.682867,146.021481","-55.058447,-18.954773",0.0,0.0,0.0
Mobile,Android,Safari,"18.303613,-55.017496","83.570851,141.203126",0.0,0.0,0.0
Mobile,macOS,Edge,"89.303623,-130.476167","58.766774,126.409742",,0.0,1.0
Tablet,Windows,Chrome,,,0.0,0.0,
Desktop,macOS,Edge,"-46.888766,-0.661609","69.117671,-150.886128",0.0,0.0,0.0
Desktop,Windows,Chrome,"29.149555,68.566715","89.297079,19.071176",0.0,0.0,0.0
,Linux,Firefox,"-86.017026,-76.731137","7.283014,-74.899097",,0.0,0.0
Mobile,Android,Opera,"28.908734,140.304526","-59.335094,64.905706",,0.0,0.0
Desktop,Linux,Safari,"30.58036,-84.282727","-24.891865,-71.119888",0.0,0.0,0.0
Tablet,Linux,,"1.399095,53.127511",,1.0,,0.0
Desktop,Android,Edge,"-65.638917,16.166485","15.894773,-20.495985",0.0,1.0,
Desktop,Android,Chrome,"-5.100079,-58.806707",,0.0,0.0,0.0
Mobile,Linux,Edge,"22.23678,49.037865","-41.046521,-130.088839",0.0,0.0,1.0
Tablet,,Edge,"84.864583,-25.810129","13.962712,61.644365",0.0,0.0,0.0
Desktop,Android,Firefox,"5.628088,-123.299071","3.37842,41.146004",0.0,0.0,
Mobile,Linux,Edge,"8.705221,-167.009058","19.180163,-135.273539",0.0,0.0,0.0
Tablet,Linux,Safari,"-63.022037,-118.351151",,0.0,0.0,0.0
Tablet,Linux,Firefox,"23.875041,24.226071","86.742554,-103.95867",0.0,0.0,0.0
Mobile,macOS,Opera,"53.646652,-12.816205","56.646795,101.244482",0.0,0.0,0.0
Mobile,iOS,Edge,"-4.525877,-121.839828","36.902073,-18.090658",0.0,0.0,0.0
Mobile,iOS,Opera,"43.686257,-178.684947","15.095886,-112.91929",0.0,0.0,0.0
Mobile,,Safari,,,0.0,0.0,0.0
,,Safari,"48.781786,62.42089","58.605375,23.049456",0.0,0.0,0.0
Mobile,Windows,Safari,"37.218368,-126.511961","47.495154,140.5169",1.0,0.0,0.0
,Android,Opera,"30.386533,68.721736","10.896576,-47.778719",1.0,0.0,0.0
Mobile,Android,Opera,"-89.525325,-65.663691","64.022043,-97.333093",0.0,0.0,0.0
Mobile,Linux,Chrome,"-74.288127,65.301924","-85.542236,-161.757566",0.0,0.0,0.0
Tablet,Windows,Firefox,"-51.820439,-84.722647","14.802736,141.241442",0.0,0.0,0.0
Tablet,iOS,Edge,"-75.900766,-5.829601","11.569855,-32.69016",0.0,0.0,0.0
Tablet,Android,Firefox,"-84.054094,124.413197","13.872347,61.597124",0.0,0.0,0.0
Mobile,Windows,,"-85.254113,-157.80971","46.529862,-54.970974",,0.0,0.0
Mobile,macOS,Edge,"25.273194,150.096068","-20.35918,-171.489694",0.0,0.0,0.0
Desktop,macOS,,,"26.932997,99.623454",0.0,0.0,0.0
Desktop,Linux,Firefox,"-38.07959,7.573268","1.962951,-44.441885",0.0,0.0,0.0
Desktop,,Safari,"-85.207727,10.311342","-30.03268,52.21379",0.0,0.0,0.0
Desktop,Android,Edge,"-9.402185,31.827958","-30.465053,35.668642",0.0,0.0,
Mobile,macOS,Edge,"75.656679,-81.13705","76.854062,-60.978173",0.0,0.0,0.0
Tablet,macOS,Safari,"25.037378,-25.260359","-77.704393,134.643976",,0.0,0.0
Mobile,iOS,Opera,"-11.67683,53.017705","-40.760723,175.883974",0.0,0.0,0.0
Mobile,iOS,Firefox,"81.240551,130.691342","61.22196,-26.317502",0.0,0.0,0.0
Mobile,Windows,Edge,"25.11404,-13.846288","23.075275,-80.085814",,0.0,0.0
Mobile,iOS,Opera,"-13.681422,103.367848","-74.849199,9.28942",0.0,0.0,0.0
Tablet,Windows,Chrome,"-50.720277,31.559956","-13.559244,169.170506",,0.0,0.0
Tablet,Android,Edge,"0.891678,53.767282","17.541576,88.97306",,0.0,0.0
Desktop,Android,Edge,"-56.264215,70.472601","-65.656091,80.519686",,0.0,
Mobile,,Chrome,,,0.0,0.0,0.0
Desktop,iOS,Chrome,"-9.068096,64.302968","60.938506,-6.096598",,0.0,0.0
Tablet,iOS,,,"-51.285222,-20.267357",0.0,1.0,0.0
Tablet,Linux,Safari,"-88.426905,-120.544503","61.401781,77.181338",0.0,0.0,0.0
Desktop,macOS,Chrome,"88.069272,96.613293","18.979852,69.780783",0.0,0.0,0.0
Tablet,Android,Opera,"20.586423,-132.115296","60.15531,-125.329277",0.0,,0.0
Tablet,iOS,Chrome,"-15.111747,77.485993",,0.0,0.0,0.0
Mobile,macOS,Edge,"71.259149,-42.543628","-4.052159,-34.963215",0.0,0.0,0.0
Mobile,Android,,"89.944178,-129.694892","77.860539,114.990444",0.0,0.0,0.0
,Android,Firefox,,"87.959891,51.031323",,0.0,0.0
Tablet,macOS,Opera,,"-84.325262,-124.601392",0.0,,0.0
Desktop,macOS,Firefox,"73.403845,2.633902","57.656459,50.037164",0.0,0.0,0.0
Desktop,iOS,Chrome,"-47.745513,69.734486","-54.351478,-175.702073",0.0,0.0,0.0
Tablet,macOS,Firefox,"11.426343,98.153714","-42.680328,-130.477207",0.0,0.0,0.0
Mobile,,Edge,"2.108476,112.000093","67.72157,137.802783",0.0,0.0,0.0
Mobile,iOS,Safari,"72.363146,89.84989","61.620136,-145.941592",,0.0,0.0
Desktop,Android,Chrome,"43.857928,31.388163","-65.692104,-131.212507",0.0,0.0,0.0
Mobile,macOS,Edge,"-5.104438,170.131556","-43.485074,-153.761449",0.0,0.0,0.0
Mobile,Linux,Chrome,"26.120256,122.528341","86.68176,127.856124",0.0,0.0,0.0
Desktop,Windows,Firefox,,"-77.546174,-128.277354",,0.0,1.0
Desktop,macOS,Firefox,,"-42.782934,99.005133",0.0,0.0,0.0
Mobile,macOS,Chrome,"-9.295967,-51.726626","38.537634,46.980314",0.0,1.0,0.0
Desktop,Windows,Chrome,"-46.904414,-27.487648","74.19498,-166.936622",0.0,0.0,
Tablet,Linux,Firefox,"-51.977176,-29.965808","-60.967959,-111.666025",0.0,,0.0
Desktop,Android,Chrome,"67.438705,171.745265","-79.263417,42.583552",0.0,0.0,0.0
Tablet,Linux,Firefox,"13.878355,-127.438063","-52.254096,-6.250877",0.0,,0.0
Tablet,Windows,Chrome,"-13.039995,36.747544","33.378088,34.349323",0.0,0.0,0.0
Tablet,macOS,Safari,"-23.261084,-106.143777","-37.775944,-30.896437",,0.0,0.0
Desktop,Android,Chrome,"-49.171631,-9.3856","-28.831755,126.886679",0.0,,0.0
Desktop,Linux,Chrome,"-51.042835,-90.171831","-14.412189,-157.799236",0.0,0.0,0.0
Desktop,Linux,Edge,"67.155153,100.461715",,0.0,0.0,0.0
Tablet,Android,Safari,"-80.043663,-64.736377","-29.046435,-62.028368",0.0,0.0,1.0
Desktop,Linux,Firefox,,"-76.96365,162.340771",0.0,0.0,0.0
Mobile,Windows,Firefox,"32.970827,-41.599747","8.471664,-123.750043",0.0,0.0,0.0
Mobile,Android,Opera,"-18.507873,-84.482148","10.036045,-17.432849",0.0,0.0,0.0
Desktop,Windows,Safari,"-29.892781,130.208363","-27.923636,-9.910302",0.0,0.0,0.0
Tablet,Android,Safari,"51.948536,156.877883","30.531479,-108.171998",0.0,0.0,0.0
Desktop,,Chrome,"35.819529,28.033835",,0.0,1.0,0.0
Mobile,macOS,Edge,"-43.333868,60.067915","-49.951524,5.591238",0.0,0.0,0.0
Tablet,macOS,,"73.108456,-155.100385","83.832026,108.182147",0.0,1.0,0.0
Desktop,Linux,Firefox,"-10.247358,-126.230143","16.743118,89.680873",0.0,0.0,0.0
Desktop,Android,Edge,,"4.61361,175.164656",0.0,1.0,0.0
,Android,Edge,"68.336877,-157.283956","-59.547622,79.048601",0.0,,0.0
Tablet,Windows,Safari,"73.031522,-155.809217","-88.928236,-134.749785",0.0,0.0,0.0
Mobile,Linux,Edge,"-38.230956,-123.780331","39.926195,93.365099",0.0,1.0,0.0
Desktop,Linux,Edge,"-63.83058,-118.198837","-82.908405,-59.811007",0.0,,
,Android,Chrome,"-3.560783,102.370424","-68.725689,140.451849",0.0,0.0,0.0
Mobile,macOS,Safari,"71.68991,24.075849",,0.0,0.0,0.0
Tablet,Android,Opera,"-61.60472,-151.491358",,0.0,0.0,0.0
Desktop,Android,Opera,,"76.01267,157.917468",0.0,0.0,0.0
Mobile,iOS,Firefox,"21.628989,29.80137","-33.625065,53.416237",0.0,1.0,
Mobile,Windows,Edge,"-81.332061,-31.84366","7.522098,34.493093",0.0,0.0,0.0
Tablet,Windows,Chrome,"9.069096,35.384961","22.555767,-158.393089",0.0,,0.0
Desktop,iOS,Edge,"-89.134549,-108.160208","71.111856,-129.499933",0.0,,0.0
